"","ant.Sep.Eri.P","ant.Oct.Eri.P","ant.Nov.Eri.P","for.Dec.Eri.P","for.Jan.Eri.P","for.Feb.Eri.P","for.Mar.Eri.P","for.Apr.Eri.P","for.May.Eri.P","for.Jun.Eri.P","for.Jul.Eri.P","for.Aug.Eri.P","for.Sep.Eri.P","for.Oct.Eri.P","for.Nov.Eri.P","ant.Sep.Eri.E","ant.Oct.Eri.E","ant.Nov.Eri.E","for.Dec.Eri.E","for.Jan.Eri.E","for.Feb.Eri.E","for.Mar.Eri.E","for.Apr.Eri.E","for.May.Eri.E","for.Jun.Eri.E","for.Jul.Eri.E","for.Aug.Eri.E","for.Sep.Eri.E","for.Oct.Eri.E","for.Nov.Eri.E","ant.Sep.Eri.R","ant.Oct.Eri.R","ant.Nov.Eri.R","for.Dec.Eri.R","for.Jan.Eri.R","for.Feb.Eri.R","for.Mar.Eri.R","for.Apr.Eri.R","for.May.Eri.R","for.Jun.Eri.R","for.Jul.Eri.R","for.Aug.Eri.R","for.Sep.Eri.R","for.Oct.Eri.R","for.Nov.Eri.R","ant.Sep.Ont.P","ant.Oct.Ont.P","ant.Nov.Ont.P","for.Dec.Ont.P","for.Jan.Ont.P","for.Feb.Ont.P","for.Mar.Ont.P","for.Apr.Ont.P","for.May.Ont.P","for.Jun.Ont.P","for.Jul.Ont.P","for.Aug.Ont.P","for.Sep.Ont.P","for.Oct.Ont.P","for.Nov.Ont.P","ant.Sep.Ont.E","ant.Oct.Ont.E","ant.Nov.Ont.E","for.Dec.Ont.E","for.Jan.Ont.E","for.Feb.Ont.E","for.Mar.Ont.E","for.Apr.Ont.E","for.May.Ont.E","for.Jun.Ont.E","for.Jul.Ont.E","for.Aug.Ont.E","for.Sep.Ont.E","for.Oct.Ont.E","for.Nov.Ont.E","ant.Sep.Ont.R","ant.Oct.Ont.R","ant.Nov.Ont.R","for.Dec.Ont.R","for.Jan.Ont.R","for.Feb.Ont.R","for.Mar.Ont.R","for.Apr.Ont.R","for.May.Ont.R","for.Jun.Ont.R","for.Jul.Ont.R","for.Aug.Ont.R","for.Sep.Ont.R","for.Oct.Ont.R","for.Nov.Ont.R","ant.Sep.MiH.P","ant.Oct.MiH.P","ant.Nov.MiH.P","for.Dec.MiH.P","for.Jan.MiH.P","for.Feb.MiH.P","for.Mar.MiH.P","for.Apr.MiH.P","for.May.MiH.P","for.Jun.MiH.P","for.Jul.MiH.P","for.Aug.MiH.P","for.Sep.MiH.P","for.Oct.MiH.P","for.Nov.MiH.P","ant.Sep.MiH.E","ant.Oct.MiH.E","ant.Nov.MiH.E","for.Dec.MiH.E","for.Jan.MiH.E","for.Feb.MiH.E","for.Mar.MiH.E","for.Apr.MiH.E","for.May.MiH.E","for.Jun.MiH.E","for.Jul.MiH.E","for.Aug.MiH.E","for.Sep.MiH.E","for.Oct.MiH.E","for.Nov.MiH.E","ant.Sep.MiH.R","ant.Oct.MiH.R","ant.Nov.MiH.R","for.Dec.MiH.R","for.Jan.MiH.R","for.Feb.MiH.R","for.Mar.MiH.R","for.Apr.MiH.R","for.May.MiH.R","for.Jun.MiH.R","for.Jul.MiH.R","for.Aug.MiH.R","for.Sep.MiH.R","for.Oct.MiH.R","for.Nov.MiH.R","ant.Sep.Sup.P","ant.Oct.Sup.P","ant.Nov.Sup.P","for.Dec.Sup.P","for.Jan.Sup.P","for.Feb.Sup.P","for.Mar.Sup.P","for.Apr.Sup.P","for.May.Sup.P","for.Jun.Sup.P","for.Jul.Sup.P","for.Aug.Sup.P","for.Sep.Sup.P","for.Oct.Sup.P","for.Nov.Sup.P","ant.Sep.Sup.E","ant.Oct.Sup.E","ant.Nov.Sup.E","for.Dec.Sup.E","for.Jan.Sup.E","for.Feb.Sup.E","for.Mar.Sup.E","for.Apr.Sup.E","for.May.Sup.E","for.Jun.Sup.E","for.Jul.Sup.E","for.Aug.Sup.E","for.Sep.Sup.E","for.Oct.Sup.E","for.Nov.Sup.E","ant.Sep.Sup.R","ant.Oct.Sup.R","ant.Nov.Sup.R","for.Dec.Sup.R","for.Jan.Sup.R","for.Feb.Sup.R","for.Mar.Sup.R","for.Apr.Sup.R","for.May.Sup.R","for.Jun.Sup.R","for.Jul.Sup.R","for.Aug.Sup.R","for.Sep.Sup.R","for.Oct.Sup.R","for.Nov.Sup.R"
"1",65.75,71.39,79.43,86.39,102.46,46.06,69.01,69.79,77,46.58,59.62,64.56,62.5,22.57,51,165.658667,146.599626,162.157383,75.213603,27.481126,20.67585,19.047344,5.357802,26.615911,33.747316,96.742721,114.374599,162.082077,221.415011,115.929561,6.82,28.64,83.53,72.61,222.57,108.82,160.84,124.15,67.47,15.99,8.91,7.83,11.22,4.97,15.84,65.42,41.39,82.73,87.61,63.64,57.05,69.84,62.78,101.22,28.15,64.44,67.67,67.2,42.22,62.58,97.296,66.103,107.59,108.41,74.948,42.978,39.638,5.0062,6.9912,23.731,56.634,76.168,89.086,122.49,67.319,46.9,42.4,115.9,135.2,204,172.4,240,294,172.2,85.3,57,40.7,43.4,50.8,56.6,86.94,118.23,78.98,75.35,66.41,31.4,66.88,62.74,74.9,63.19,128.41,78.39,50.3,12.32,83.54,67.989,53.59,106.11,97.545,44.597,33.176,28.64,-0.42676,-1.6559,-3.5657,7.9453,35.836,69.444,126.55,88.049,32.4,60.8,80.8,58.8,73.9,56.5,73.9,146.1,76.2,46.8,42.9,32.3,25.5,18,30.8,127.79,79.09,58.49,48.35,48.54,21.85,46.49,45.68,37.15,106.8,141.31,87.51,39.96,20.4,54.96,32.04231,46.408597,96.989528,77.987829,48.126406,35.287686,21.19496,10.756239,6.024824,-4.214412,-4.664252,4.47397,37.492889,98.610995,87.461964,42.49,43.49,40.54,29.24,18.25,13.76,14.7,81.03,63.72,49.23,48.81,32.43,19.73,12.03,14.19
"2",62.5,22.57,51,52.22,61.52,33.19,63.75,47.72,103.05,66.51,65.66,57.33,47.88,25.83,48.93,162.082077,221.415011,115.929561,73.090375,32.086747,30.60595,19.850576,13.868374,13.791597,29.59987,89.846358,113.89042,181.180001,139.450156,141.712674,11.22,4.97,15.84,62.57,77.3,49.25,113.03,60.88,70.27,22.25,10.86,7.93,5.7,4.43,9.62,67.2,42.22,62.58,61.03,61.36,37.32,88.41,51.31,120.59,43.74,57.21,66.63,84.08,21.94,45.68,89.086,122.49,67.319,94.106,85.457,65.996,34.966,16.999,11.418,21.844,64.59,71.13,103.05,63.871,71.414,43.4,50.8,56.6,158.1,130.9,133.2,239.5,176.8,229.9,86.9,52.3,56.5,44.1,32.9,42,50.3,12.32,83.54,50.95,52.51,65.7,65.53,66.2,78.5,77.67,72.88,55.6,72.54,27.8,41.8,69.444,126.55,88.049,83.817,75.161,47.683,28.726,14.746,0.56074,-3.8827,16.277,33.291,89.778,61.833,102.29,25.5,18,30.8,50.7,41.5,41,88.9,104.4,86.2,55.7,39.2,29.5,24.2,20.8,19,39.96,20.4,54.96,34.41,51.45,50.42,52.84,52.59,112.1,109.3,86.76,89.43,71.63,26.33,49.55,37.492889,98.610995,87.461964,83.776272,59.301998,31.956647,21.662391,15.363143,-0.139769,-4.469043,-3.327958,3.007558,57.809063,50.238993,92.480226,19.73,12.03,14.19,15.33,12.05,9.51,24.39,68.19,95.84,80.55,44.49,35.18,18.61,17.05,16.58
"3",47.88,25.83,48.93,43.57,54.47,71.03,84.62,103.81,37.75,68.27,47.76,75.58,53.9,176.64,56.83,181.180001,139.450156,141.712674,115.967904,40.763115,15.157546,24.531299,4.056159,31.373072,34.334869,82.99491,125.27992,133.341808,146.918133,130.411759,5.7,4.43,9.62,40.34,69.24,106.37,162.65,154.23,29.76,23.56,13.24,10.58,6.47,145.08,31.94,84.08,21.94,45.68,55.93,58.57,82.73,88.62,98.21,41.09,69.61,27.12,87.25,76.34,97.07,79.67,103.05,63.871,71.414,107.42,113.16,42.746,55.394,11.161,13.989,21.276,61.273,77.19,72.687,58.214,72.111,44.1,32.9,42,113.4,94.2,237.7,273.2,335.7,201.6,86,43.3,36.9,65.8,94.1,108.5,72.54,27.8,41.8,59.09,41.97,56.23,65.8,100.37,58.58,127.5,60.34,52.04,115.3,142.32,48.02,89.778,61.833,102.29,126.82,99.345,33.137,56.596,12.082,0.78629,-2.4465,7.2183,43.651,54.45,61.292,82.936,24.2,20.8,19,31.8,33.9,54.8,80.8,119.2,93,68.6,41.5,27.6,33.4,103,55.5,71.63,26.33,49.55,62.77,58.28,38.12,43.8,86.96,99.17,79.67,35.96,51.68,86.74,56.05,36.89,57.809063,50.238993,92.480226,99.409004,78.365987,32.125301,46.096916,13.633836,1.217074,-4.290135,-3.474992,20.544936,45.283256,65.521155,75.156384,18.61,17.05,16.58,21.05,13.08,14.5,19.23,85.98,133.06,75.49,33.27,22.41,22.07,29.72,21.63
"4",53.9,176.64,56.83,56.03,67.46,53.17,89.13,69.19,44.33,44.08,65.12,83.26,56.45,110.16,74.72,133.341808,146.918133,130.411759,89.214437,39.200412,17.506689,20.113582,2.798247,29.188388,45.342957,78.694466,132.359871,164.063464,183.190935,171.804427,6.47,145.08,31.94,59.74,85.95,81.66,181.22,87.14,24.44,16.47,11.15,10.89,6.96,62.55,67.12,76.34,97.07,79.67,87.01,41.04,53.01,97.9,59.62,61.17,24.27,48.86,114.27,47.57,206.41,36.31,72.687,58.214,72.111,107.82,110.49,41.22,56.385,2.666,6.608,26.309,62.977,80.971,96.094,66.072,115.92,65.8,94.1,108.5,135.4,145.5,100.3,341.9,295.8,97.5,56.9,38.2,43.1,34.1,193,168.8,115.3,142.32,48.02,48.67,50.88,42.31,52.38,63.54,65.15,49.12,48.46,58.3,31.37,92.8,67.89,54.45,61.292,82.936,105.62,78.738,42.372,43.438,1.5981,2.0357,0.32286,18.843,68.278,85.623,71.626,125.56,33.4,103,55.5,46.6,45.6,35,71.3,118,57.9,36.1,22.4,19.9,20.8,28.6,41.9,86.74,56.05,36.89,23.09,43.35,48.43,81.68,48.92,60.08,41.63,76.84,91.57,86.68,87.64,89.75,45.283256,65.521155,75.156384,103.057253,94.142839,52.002087,49.46972,6.569144,4.899808,-3.824955,-3.071316,13.403743,64.792803,55.939192,99.944817,22.07,29.72,21.63,14.76,12.3,12.18,12.48,93.03,67,38.67,24.61,23.62,20.91,27.91,29.58
"5",56.45,110.16,74.72,37.24,22.6,54.07,98.68,86.61,138.63,76.23,88.14,125.1,43.54,36.58,42.84,164.063464,183.190935,171.804427,78.16785,39.402613,23.345739,16.950795,5.479985,13.471918,29.82995,67.543591,96.614259,161.786761,125.368249,171.723021,6.96,62.55,67.12,32.8,10.28,95.78,181.18,113.33,142.55,33.52,17.85,28.1,7.48,6.13,9.01,47.57,206.41,36.31,39.99,41.43,57.02,77.54,90.85,107.37,35.12,69.57,110.16,69,27.75,46.45,96.094,66.072,115.92,127.77,87.551,45.722,49.005,10.244,3.9272,13.854,46.013,57.427,89.894,57.944,82.745,34.1,193,168.8,111.4,76.2,101.4,253.6,368.1,282.4,113.4,60.3,50.5,57.5,46.3,34.8,31.37,92.8,67.89,45.39,24.12,41.92,53.85,66.13,93.24,65.35,90.58,91.11,51.48,18.22,62.07,85.623,71.626,125.56,123.9,56.014,36.494,29.916,9.1226,-1.4484,-2.5083,8.028,23.051,72.115,41.538,106.66,20.8,28.6,41.9,33.7,29,26.8,53.3,110.6,119.6,49.6,43.6,34.7,28.7,24.9,27.2,86.68,87.64,89.75,55.92,44.23,25.1,22.45,34.23,90,60.35,81.32,74.84,68.19,31.28,66.04,64.792803,55.939192,99.944817,115.967523,70.264917,58.977733,46.202119,23.324378,0.774205,-3.962263,-4.019387,11.701432,51.254501,47.445574,106.8318,20.91,27.91,29.58,16.59,14.34,10.57,9.11,56.94,93.76,56.32,39.13,23.56,20.85,16.14,16.47
"6",43.54,36.58,42.84,61.67,63.76,57.09,37.23,124.8,78.73,125.96,82.79,44.66,94.84,60.44,67.79,161.786761,125.368249,171.723021,67.579141,40.754586,13.591982,18.488438,4.773267,25.276095,28.297091,72.708272,131.888137,147.453428,176.592123,135.570096,7.48,6.13,9.01,65.45,63.85,79.93,77.93,181.29,53.48,44.42,44.54,6.75,17.02,29.89,40.31,69,27.75,46.45,52.76,68.07,46.66,36.17,69.65,74.18,98.25,60.39,24.76,85.04,34.62,53.49,89.894,57.944,82.745,92.232,103.48,37.141,34.303,13.705,11.264,15.927,55.394,88.298,79.222,76.852,88.255,57.5,46.3,34.8,126.2,127.8,122.6,205.8,191.6,133.5,83.6,74.4,38.6,38.8,27.7,66.6,51.48,18.22,62.07,45.31,46.76,34.03,37.82,71.13,90.71,99.37,68.47,44.88,83.67,68.79,87.9,72.115,41.538,106.66,97.043,92.301,34.807,29.332,10.749,-0.98463,-4.198,1.0958,49.837,64.924,73.335,102.18,28.7,24.9,27.2,35,29.8,33.8,54.3,86.8,78.3,49.3,60,24.2,28.4,30.1,60.3,68.19,31.28,66.04,65.31,31.36,37.5,40.01,62.56,39.24,88.41,52.38,45.55,96.07,28.42,89.47,51.254501,47.445574,106.8318,97.95416,95.379357,28.831042,14.802757,9.359003,6.649589,-4.09474,-3.30638,10.392187,59.765662,63.685586,96.918153,20.85,16.14,16.47,11.88,7.37,8.19,12.28,72.84,89.2,57.18,40.31,21.49,27.7,18.99,26.81
"7",94.84,60.44,67.79,84.62,44.38,26.69,27.84,54.01,44.5,104.54,112.99,91.28,91.67,47.22,76.75,147.453428,176.592123,135.570096,72.545827,38.991115,33.096162,15.657294,5.086855,26.607918,40.109692,56.31577,113.511436,128.706676,163.459341,150.605117,17.02,29.89,40.31,113.02,44.77,32.4,68.98,61.19,31.46,44.13,30.56,19.68,15.52,6.2,33.31,85.04,34.62,53.49,74.46,60.12,76.13,21.19,57.4,46.32,73.55,77.57,86.63,101.61,61.52,69.43,79.222,76.852,88.255,92.199,105.64,72.779,20.338,9.9099,10.796,33.618,32.436,72.722,71.027,82.89,91.809,38.8,27.7,66.6,153.5,103.5,77.9,226.7,221.1,136.1,98.3,54.1,42,67.3,66.3,84.6,83.67,68.79,87.9,66.59,38.66,29.54,17.49,35.63,32.16,66.3,68.59,62.39,86.23,51.75,72.94,64.924,73.335,102.18,96.973,66.712,54.827,29.572,12.342,5.412,0.3978,6.5142,47.564,51.605,70.325,128.17,28.4,30.1,60.3,60.5,44.4,30.8,56.1,63.5,35.8,30.3,35,23.3,26.7,24.4,29.1,96.07,28.42,89.47,38.15,39.99,24.4,16.97,27.74,38.01,83.93,88.74,98.06,80.7,43.67,91.91,59.765662,63.685586,96.918153,94.870063,59.550779,45.693809,33.251194,22.376914,5.964804,-4.079292,-3.745811,16.960787,40.341171,56.383928,106.027403,27.7,18.99,26.81,18.94,16.09,13.09,15.08,53.17,51.78,46.72,44.15,24.27,33.36,21.85,28.65
"8",91.67,47.22,76.75,34.5,108.9,81.59,75.27,85.36,77.92,48.33,60.87,70.71,62.79,102.7,75.38,128.706676,163.459341,150.605117,90.941371,27.948342,12.460744,14.275558,2.813963,6.526712,38.430618,75.032184,92.658574,158.737171,178.328442,150.202223,15.52,6.2,33.31,22.15,106.43,150.63,143.36,137.78,74.76,15.85,8.99,6.5,5.99,62.58,58.53,101.61,61.52,69.43,45.02,89.7,72.72,55.78,70.76,57.85,38.39,82.52,50.46,53.05,113.63,70.66,71.027,82.89,91.809,136.7,90.735,57.286,38.172,6.7621,-0.24237,6.4177,29.139,52.76,96.025,97.158,98.913,67.3,66.3,84.6,86.1,116.3,116.4,230.2,405,150.3,58,50.8,37.9,30.5,112.4,135.9,86.23,51.75,72.94,46.68,55.46,59.29,58.16,81.02,80.37,34.43,68.48,114.23,98.26,114.79,82.24,51.605,70.325,128.17,136.73,69.498,32.764,19.007,3.9517,-0.82632,-1.6006,13.671,18.886,74.262,79.793,105.32,26.7,24.4,29.1,26.4,24.5,26.4,65.2,154.4,96.9,37.6,26.9,26.5,28,51.6,68.1,80.7,43.67,91.91,48.73,31.23,25.81,30.74,34.74,110.69,66.85,54.57,155.3,126.85,85.99,45.72,40.341171,56.383928,106.027403,116.955361,74.587216,30.444421,24.921353,13.605666,-0.18862,-4.34294,-3.276635,-4.766745,36.552137,72.033357,114.726739,33.36,21.85,28.65,18.54,12.69,11.29,13.84,49.98,94.24,53.73,28.8,29.11,32.29,38.05,25.37
"9",62.79,102.7,75.38,78.74,80.53,66.37,39.67,71.85,98.15,96.6,77.74,64.19,33.64,37.08,45.81,158.737171,178.328442,150.202223,60.500541,34.649841,29.94271,25.440407,1.404405,5.887241,30.465449,77.415156,96.807938,133.465056,193.793109,133.773637,5.99,62.58,58.53,98.48,101.83,90.94,69.4,101.9,65.07,47.81,17.6,8.27,5.11,5.12,11.57,53.05,113.63,70.66,97.62,68.93,103.36,40.2,73.07,102.62,76.44,44.7,59.61,14.91,61.35,41.78,96.025,97.158,98.913,86.808,89.361,51.122,56.621,4.8114,-1.7998,3.4341,43.229,62.858,73.384,90.797,70.399,30.5,112.4,135.9,225.3,138.6,176.9,138.9,467.5,223.3,116.6,55.8,37.3,27,33.1,53.2,98.26,114.79,82.24,65.71,64.6,54.84,41.84,81.86,131.29,96.04,79.59,63.36,71.5,52.31,67.64,74.262,79.793,105.32,74.225,62.387,39.998,35.408,0.95315,-7.3517,-5.958,-6.4201,21.664,60.095,78.895,88.381,28,51.6,68.1,61.1,55.6,43.4,47.5,166.7,171.1,75,53.8,33.1,29.1,23.4,44.6,126.85,85.99,45.72,35.74,44.66,25.2,23.64,109.14,94.16,60.23,71.34,68.59,65.51,52.42,80.03,36.552137,72.033357,114.726739,83.06328,65.558196,48.866717,36.901413,9.546136,0.346132,-4.035502,-3.86339,8.931787,50.962509,70.082722,84.625031,32.29,38.05,25.37,18.42,14.85,9.69,8.85,86.98,122.32,53.65,31.18,23.93,18.93,15.72,31.19
"10",33.64,37.08,45.81,27.7,26.85,67.86,66.04,136.71,59.77,85.45,82.31,79.4,88.62,41.92,55.8,133.465056,193.793109,133.773637,116.184587,30.263998,10.635145,16.805104,1.959894,21.721878,31.566101,49.601197,100.745593,147.705781,170.932297,153.645234,5.11,5.12,11.57,8.35,15.77,84.62,143.61,182.94,62.45,32.38,14.02,12.08,8.66,6.63,28.53,14.91,61.35,41.78,31.79,28.11,73.56,59.14,98.35,73.95,101.14,73.29,65.95,24.01,37.3,73.98,73.384,90.797,70.399,141.92,97.357,29.177,33.459,10.686,2.969,9.5103,24.787,65.321,79.753,80.677,86.91,27,33.1,53.2,44.9,43.1,100.4,241.1,254.3,180.9,112.5,60.6,36.5,31.7,26.5,57,71.5,52.31,67.64,32.78,24.59,36.8,64.49,51.52,39.63,81.32,71.44,60.23,147.25,54.94,62.21,60.095,78.895,88.381,131.36,73.019,30.572,30.954,9.1891,1.9604,-2.7773,5.5443,31.946,62.395,57.667,101.84,29.1,23.4,44.6,33.4,25.8,30.1,64.3,82.8,65.3,44.4,35,26.9,37.5,38.7,46.7,65.51,52.42,80.03,31.14,26.35,41.74,48.97,39.22,61.86,45.63,52.57,42.35,115.27,58.93,53.15,50.962509,70.082722,84.625031,119.435547,68.074663,23.793947,25.342745,16.818655,5.611258,-3.979799,-3.202531,17.106822,59.657088,55.526899,100.055665,18.93,15.72,31.19,19.44,13.52,12.85,21.42,62.87,80.17,44.2,26.17,17.37,26.68,31.76,31.72
"11",88.62,41.92,55.8,41.42,60.15,51.62,47.99,35.61,47.19,59.75,66.28,59.95,79.37,60.48,53.88,147.705781,170.932297,153.645234,105.511697,38.673683,16.748605,13.095049,4.928443,10.516581,32.636807,93.70964,102.739809,164.643627,146.750985,114.685321,8.66,6.63,28.53,31.67,72.63,58.53,119.69,44.66,19.68,15.31,11.01,7.01,11.05,13.1,35.57,24.01,37.3,73.98,54.47,72.17,65.33,23.79,60.21,54,56.91,68.59,67.26,99.32,78.2,45.43,79.753,80.677,86.91,112.72,117.28,48.807,24.464,10.638,1.0645,9.6374,71.419,53.885,96.939,66.406,78.086,31.7,26.5,57,96.8,89.8,71.3,193.5,258.3,102.1,46.1,38,43.6,36.9,74.2,99.8,147.25,54.94,62.21,51.65,72.39,58.87,29.39,40.97,65.19,60.7,56.08,61.8,78.3,63.94,27.47,62.395,57.667,101.84,116.12,77.076,34.874,15.938,8.0388,0.55695,-1.7936,12.491,34.877,76.288,73.512,91.787,37.5,38.7,46.7,42.3,33.2,30.2,75.2,105,85.9,38.8,27.5,23,23.5,22.7,25.3,115.27,58.93,53.15,50.99,39.8,53.42,18.96,37.75,86.85,37.89,50.98,95.32,83.03,24.66,27.01,59.657088,55.526899,100.055665,99.644097,97.168836,27.887123,26.522375,19.548253,2.442324,-3.864746,-3.331644,10.425515,48.288611,63.671455,88.746184,26.68,31.76,31.72,22.97,12.6,11.8,15.94,51.51,94.86,47.3,27.48,25.96,26.96,15.95,15.2
"12",79.37,60.48,53.88,51,32.06,22.51,102.16,62.89,50.52,45.18,62.4,57.1,38.15,23.51,50.23,164.643627,146.750985,114.685321,98.025597,32.311225,18.599909,9.075024,3.079437,12.525763,34.431959,73.895606,120.919023,140.772769,116.300904,149.695233,11.05,13.1,35.57,23.76,17.08,23.03,175.08,69.22,29.24,11.81,10.6,7.99,5.3,4.2,19.33,99.32,78.2,45.43,63.56,47.21,35.63,59.12,68.1,75.76,20.3,49.88,87.8,28.86,9.64,117.5,96.939,66.406,78.086,119.25,95.996,56.209,20.816,8.0135,2.1565,10.337,44.851,76.446,89.864,54.009,70.745,36.9,74.2,99.8,79.7,50.8,40.4,203.1,306.8,160.9,53.2,39.2,48.1,32,23.9,64.6,78.3,63.94,27.47,60.59,41.5,29.31,62.96,44.59,77.33,45.8,70.86,66.23,65.69,23.81,63.58,76.288,73.512,91.787,125.43,78.251,34.337,9.3669,8.9794,1.5413,-1.34,5.8249,33.402,61.131,43.681,104.3,23.5,22.7,25.3,25.1,23.2,21.9,59.9,90.5,71.6,36.8,27.4,26,22.6,17.1,21.7,83.03,24.66,27.01,48.41,37.6,30.07,43.8,59.31,51.34,105.91,49.78,75.14,52.22,25.35,56.03,48.288611,63.671455,88.746184,108.64903,65.144403,36.060448,15.173237,13.762922,3.189968,-4.54414,-3.69173,8.470447,36.421731,29.015196,85.033161,26.96,15.95,15.2,14.59,12.27,8.65,15.12,59.14,65.04,57.51,27.42,22.52,17.57,13.58,16.38
